ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
-2.187351435422897339e-01,-2.084046900272369385e-01,8.935824036598205566e-01,2.625796794891357422e-01,8.501550555229187012e-01,4.560557305812835693e-01,1.736339554190635681e-02,-2.060093164443969727e+00,1.099602699279785156e+00,2.336798608303070068e-01,1.167107939720153809e+00,1.801223158836364746e-01,-2.091999530792236328e+00,-1.074169516563415527e+00
-4.839418530464172363e-01,2.086969166994094849e-01,8.112838119268417358e-02,1.627718210220336914e-01,1.748431771993637085e-01,8.656044602394104004e-01,-4.400728940963745117e-01,-2.851482391357421875e+00,1.797404170036315918e+00,2.247380733489990234e+00,1.389277338981628418e+00,-1.142234086990356445e+00,-1.851758837699890137e+00,2.309129238128662109e+00
3.208193182945251465e-01,-2.130392789840698242e-01,7.302064895629882812e-01,2.016591280698776245e-02,-4.940674006938934326e-01,7.285107970237731934e-01,4.740915000438690186e-01,2.652251243591308594e+00,-1.735610842704772949e+00,-8.313426375389099121e-02,-1.804478406906127930e+00,1.546444296836853027e+00,1.113524675369262695e+00,-2.270027399063110352e+00
9.445932507514953613e-02,4.193864762783050537e-01,7.177464365959167480e-01,7.445424795150756836e-01,6.241323351860046387e-01,2.208949476480484009e-01,-8.556210994720458984e-02,-1.466773152351379395e-01,2.086168080568313599e-01,-1.394181966781616211e+00,1.560043931007385254e+00,-4.561086297035217285e-01,-1.207216858863830566e+00,2.400461584329605103e-01
-4.033301770687103271e-01,-1.506891399621963501e-01,2.303293496370315552e-01,9.229490160942077637e-02,9.119604229927062988e-01,2.599285542964935303e-01,-3.037217855453491211e-01,1.364438414573669434e+00,-1.251815557479858398e+00,-1.117298007011413574e+00,2.074076890945434570e+00,8.893942832946777344e-01,-2.592857778072357178e-01,1.073647066950798035e-01
6.103737950325012207e-01,4.884550273418426514e-01,6.691734194755554199e-01,-1.086297854781150818e-01,3.122470378875732422e-01,-7.484123110771179199e-01,5.749611258506774902e-01,-2.249006271362304688e+00,-1.153185129165649414e+00,-9.608196020126342773e-01,3.699066936969757080e-01,-1.601531386375427246e+00,-1.171950697898864746e+00,-2.620654106140136719e+00
-1.518885884433984756e-02,-4.642242789268493652e-01,8.400194048881530762e-01,3.668029904365539551e-01,-4.679710566997528076e-01,6.047114133834838867e-01,5.298893451690673828e-01,7.779805660247802734e-01,-1.135406017303466797e+00,2.405810594558715820e+00,1.506437301635742188e+00,-2.546583652496337891e+00,-1.097443699836730957e+00,1.032226562500000000e+00
8.738491684198379517e-02,8.465016484260559082e-01,4.392412304878234863e-01,1.013256609439849854e-01,8.754736185073852539e-01,3.598363399505615234e-01,3.062627017498016357e-01,-1.695752859115600586e+00,-1.540168523788452148e+00,2.584393501281738281e+00,2.975846230983734131e-01,-1.621733903884887695e-01,1.192211031913757324e+00,1.878392338752746582e+00
1.317400187253952026e-01,8.335258364677429199e-01,4.426073431968688965e-01,-1.509969830513000488e-01,-3.100710511207580566e-01,-4.066633880138397217e-01,8.459791541099548340e-01,-1.837144494056701660e+00,-1.688372254371643066e+00,-4.091505110263824463e-01,-3.201131224632263184e-01,-1.956795454025268555e-01,9.595506787300109863e-01,1.059023737907409668e+00
7.903617620468139648e-01,6.237473338842391968e-03,4.990268647670745850e-01,3.676147162914276123e-01,5.343163013458251953e-01,7.425158619880676270e-01,-1.674387305974960327e-01,2.873094081878662109e+00,-1.682143330574035645e+00,-5.778568983078002930e-01,-6.731277108192443848e-01,2.146208047866821289e+00,-1.052825927734375000e+00,-1.892406105995178223e+00
