ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,q_prev_0,q_prev_1,q_prev_2,q_prev_3,q_prev_4,q_prev_5,q_prev_6,q_curr_0,q_curr_1,q_curr_2,q_curr_3,q_curr_4,q_curr_5,q_curr_6
0.297304,0.116220,0.969227,0.458534,0.830235,0.281842,-0.144986,1.608997,-0.040863,1.854335,0.904171,-2.580979,1.864669,1.652680,1.641164,-0.060593,1.854079,0.895999,-2.564100,1.935043,1.657209
0.298741,0.056123,0.988122,0.448672,0.815031,0.342553,-0.130676,1.641164,-0.060593,1.854079,0.895999,-2.564100,1.935043,1.657209,1.673361,-0.163102,1.851643,0.853838,-2.625041,1.891135,1.640503
0.295355,0.022794,0.993173,0.436526,0.815111,0.346738,-0.157517,1.673361,-0.163102,1.851643,0.853838,-2.625041,1.891135,1.640503,1.719156,-0.229422,1.853175,0.829629,-2.641424,1.941273,1.667408
0.297385,0.027093,0.994010,0.396203,0.832638,0.351849,-0.161055,1.719156,-0.229422,1.853175,0.829629,-2.641424,1.941273,1.667408,1.786026,-0.237147,1.818378,0.818436,-2.629299,1.950102,1.613189
0.288266,0.082040,0.973134,0.328585,0.875316,0.312687,-0.167572,1.786026,-0.237147,1.818378,0.818436,-2.629299,1.950102,1.613189,1.790550,-0.225735,1.944251,0.912278,-2.671962,1.935732,1.540017
0.278681,0.095474,0.990834,0.325152,0.865125,0.362299,-0.120728,1.790550,-0.225735,1.944251,0.912278,-2.671962,1.935732,1.540017,1.761015,-0.209955,2.004544,0.875824,-2.704669,1.828368,1.531884
0.302782,0.049966,0.990222,0.438504,0.807426,0.385261,-0.085747,1.761015,-0.209955,2.004544,0.875824,-2.704669,1.828368,1.531884,1.707894,-0.236427,1.960701,0.871111,-2.792555,1.755016,1.638346
0.313916,0.045752,0.949867,0.456813,0.811187,0.347808,-0.111031,1.707894,-0.236427,1.960701,0.871111,-2.792555,1.755016,1.638346,1.643523,-0.291266,2.052547,1.016364,-2.851134,1.736603,1.655424
0.319664,0.049945,0.937760,0.420176,0.820225,0.357078,-0.152241,1.643523,-0.291266,2.052547,1.016364,-2.851134,1.736603,1.655424,1.729958,-0.340609,2.040283,1.055231,-2.829395,1.717796,1.648733
0.326764,0.017333,0.930267,0.479691,0.794200,0.342365,-0.148083,1.729958,-0.340609,2.040283,1.055231,-2.829395,1.717796,1.648733,1.661213,-0.352518,2.026963,1.066840,-2.857162,1.741372,1.699368
0.325794,0.028285,0.928700,0.482393,0.803850,0.321746,-0.132669,1.661213,-0.352518,2.026963,1.066840,-2.857162,1.741372,1.699368,1.668985,-0.334930,2.029621,1.066844,-2.893239,1.757197,1.694504
0.303824,0.099421,0.938199,0.448356,0.846624,0.265829,-0.107422,1.668985,-0.334930,2.029621,1.066844,-2.893239,1.757197,1.694504,1.773643,-0.256262,2.048913,1.028691,-2.948860,1.816754,1.707642
0.304940,0.073710,0.936918,0.426469,0.844691,0.294499,-0.133758,1.773643,-0.256262,2.048913,1.028691,-2.948860,1.816754,1.707642,1.797650,-0.343492,2.095285,1.051412,-2.967060,1.793178,1.720827
0.302602,0.059425,0.938075,0.365908,0.876938,0.282200,-0.132113,1.797650,-0.343492,2.095285,1.051412,-2.967060,1.793178,1.720827,1.800274,-0.358100,2.090111,1.038813,-2.959431,1.866753,1.592494
0.296683,0.059446,0.944809,0.403037,0.862602,0.273919,-0.135821,1.800274,-0.358100,2.090111,1.038813,-2.959431,1.866753,1.592494,1.788431,-0.349275,2.104911,1.020218,-2.967060,1.883152,1.678862
0.301345,0.057429,0.944546,0.472770,0.831488,0.266683,-0.118309,1.788431,-0.349275,2.104911,1.020218,-2.967060,1.883152,1.678862,1.711738,-0.306083,2.088485,1.017151,-2.967060,1.866430,1.743864
0.272178,0.137389,0.939249,0.433615,0.860910,0.222965,-0.145257,1.711738,-0.306083,2.088485,1.017151,-2.967060,1.866430,1.743864,1.740871,-0.219468,2.147355,1.039106,-2.879863,1.888379,1.785264
0.287340,0.129069,0.917297,0.466197,0.857382,0.173890,-0.131599,1.740871,-0.219468,2.147355,1.039106,-2.879863,1.888379,1.785264,1.726042,-0.216140,2.112484,1.088585,-2.938778,1.927497,1.775731
