epoch,step,test_ik_loss,test_loss,test_move_loss,train_ik_loss,train_loss,train_move_loss,val_ik_loss,val_loss,val_move_loss
0,27,,,,,,,0.002552323741838336,0.0025601438246667385,7.81995477154851e-05
0,27,,,,0.0031669011805206537,0.003237628610804677,0.0007072760490700603,,,
1,55,,,,,,,0.002523551695048809,0.0025277412496507168,4.189480023342185e-05
1,55,,,,0.0025789719074964523,0.002590421587228775,0.00011450667807366699,,,
2,83,,,,,,,0.0025020178873091936,0.0025043033529073,2.2852482288726605e-05
2,83,,,,0.002534210681915283,0.0025415599811822176,7.34926579752937e-05,,,
3,111,,,,,,,0.002509021433070302,0.002511804224923253,2.7826490622828715e-05
3,111,,,,0.002505704527720809,0.0025112794246524572,5.574652095674537e-05,,,
4,139,,,,,,,0.0024898662231862545,0.0024913048837333918,1.4386670954991132e-05
4,139,,,,0.0025015792343765497,0.00250637112185359,4.791892570210621e-05,,,
5,167,,,,,,,0.002497456967830658,0.002499122405424714,1.6654397768434137e-05
5,167,,,,0.0024919267743825912,0.0024961023591458797,4.175716094323434e-05,,,
6,195,,,,,,,0.0024902289733290672,0.0024915544781833887,1.3254154509922955e-05
6,195,,,,0.002485596342012286,0.002489012898877263,3.4161119401687756e-05,,,
7,223,,,,,,,0.002491045743227005,0.0024928527418524027,1.8070444639306515e-05
7,223,,,,0.002479235175997019,0.002482641488313675,3.4063650673488155e-05,,,
8,251,,,,,,,0.0024914105888456106,0.0024932543747127056,1.843804056989029e-05
8,251,,,,0.002481284085661173,0.002484409138560295,3.124863360426389e-05,,,
9,279,,,,,,,0.002497740788385272,0.002499595982953906,1.855066693678964e-05
9,279,,,,0.002474595094099641,0.002477560890838504,2.9653509045601822e-05,,,
10,307,,,,,,,0.002498421585187316,0.0025000842288136482,1.6628109733574092e-05
10,307,,,,0.0024699971545487642,0.0024730516597628593,3.054131957469508e-05,,,
11,335,,,,,,,0.0024945999030023813,0.0024965316988527775,1.9317221813253127e-05
11,335,,,,0.0024700569920241833,0.002472909167408943,2.8518572435132228e-05,,,
12,363,,,,,,,0.002491655759513378,0.0024933242239058018,1.668334698479157e-05
12,363,,,,0.0024679992347955704,0.002470944309607148,2.9451386581058614e-05,,,
13,391,,,,,,,0.002492843195796013,0.002494525397196412,1.6821913959574886e-05
13,391,,,,0.0024678679183125496,0.0024706500116735697,2.7820651666843332e-05,,,
14,419,,,,,,,0.002493534004315734,0.002495263935998082,1.7298158127232455e-05
14,419,,,,0.0024662399664521217,0.0024690362624824047,2.7964455512119457e-05,,,
15,447,,,,,,,0.002494259038940072,0.002495940774679184,1.681851972534787e-05
15,447,,,,0.002464418299496174,0.002467493759468198,3.0753377359360456e-05,,,
16,475,,,,,,,0.002496483037248254,0.002498325891792774,1.842843630583957e-05
16,475,,,,0.0024596061557531357,0.0024621535558253527,2.5469234969932586e-05,,,
17,503,,,,,,,0.00249575381167233,0.002497541019693017,1.7876092897495255e-05
17,503,,,,0.0024521041195839643,0.0024547779466956854,2.6740630346466787e-05,,,
18,531,,,,,,,0.0024948373902589083,0.0024967121426016092,1.8745200577541254e-05
18,531,,,,0.002455066656693816,0.002457840833812952,2.77411727438448e-05,,,
19,559,,,,,,,0.002500831615179777,0.0025033357087522745,2.5039789761649445e-05
19,559,,,,0.0024534340482205153,0.002456460613757372,3.0268825867096893e-05,,,
20,587,,,,,,,0.002497781766578555,0.002500030677765608,2.2491807612823322e-05
20,587,,,,0.00245088548399508,0.002453877590596676,2.9915530831203796e-05,,,
21,615,,,,,,,0.002500057453289628,0.002502268413081765,2.2111176804173738e-05
21,615,,,,0.0024500307627022266,0.0024531283415853977,3.097272929153405e-05,,,
22,643,,,,,,,0.0025012947153300047,0.0025034788995981216,2.1844109141966328e-05
22,643,,,,0.002450632629916072,0.0024537229910492897,3.090927202720195e-05,,,
23,671,,,,,,,0.0024986339267343283,0.0025009815581142902,2.3474785848520696e-05
23,671,,,,0.002447965322062373,0.002451188862323761,3.2228428608505055e-05,,,
24,699,,,,,,,0.0025023126509040594,0.0025046959053725004,2.3833199520595372e-05
24,699,,,,0.0024459948763251305,0.0024492309894412756,3.2362589990952983e-05,,,
25,700,0.00251870509237051,0.0025209221057593822,2.2172946046339348e-05,,,,,,
